+---------------+------------------+-------------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
| s_store_name1 | s_store_id1      | d_week_seq1 | sun_sales_ratio | mon_sales_ratio | tue_sales_ratio | wed_sales_ratio | thu_sales_ratio | fri_sales_ratio | sat_sales_ratio |
+---------------+------------------+-------------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+-----------------+
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
| able          | AAAAAAAACAAAAAAA | 5271        | 1.556561        | 1.985323        | 0.302978        | 0.436715        | 1.050296        | 0.737967        | 1.871428        |
