# peacockdb cost-model calibration record. One row per timed region — per
# (node, output partition), not per node: the partitioned branches time each partition
# separately, and a hash repartition bills its shared concat+scatter prologue to p0.
# The partition is not a column: a node's regions are written consecutively, p0 first.
# A benchmark executes its plan several times and writes EVERY measured execution, in
#   the order they ran; the .benchmark.txt beside it reports one chosen run instead. So
#   the same (query, label, node_seq) recurs, and a repeat of the root's node_seq is
#   where one execution's rows end. Spread across those repeats is data, not noise.
# ONE FILE IS ONE RUN. The `# run:` lines below hold what is constant across it, and
#   each of them changes what the microseconds MEAN — so appending a run that disagrees
#   with them is refused rather than merged.
# source = which engine produced the row. peacockdb pays a host prologue that bare cuDF
#   has no analogue for; that difference is what const_peacock is fitted to, so rows
#   from the two sources are not interchangeable.
# node_type = the plan node's name. Its cost CATEGORY is deliberately not a column: it
#   is a lookup in cost_model.conf, which changes on its own, and a column would freeze
#   the taxonomy as it stood when the rows were written. The writer still refuses to
#   emit a node type the taxonomy does not bin.
# peacock_host_us = host time before the region's first device touch.
# cudf_host_us = host time from that touch to the end of the region. Under
#   timing_mode=sync it CONTAINS the device execution and device_us is 0; under events
#   it does not. Not launch cost in either mode — cuDF and rmm synchronize internally.
# device_us = between the region's CUDA events. events mode only.
# wall_us = peacock_host_us + cudf_host_us, the host side of the region.
# cuda_bytes = the bytes this region's category is charged for; the regressor. Equal to
#   out_bytes on the peacockdb source, the mapped call's bytes on the bare-cuDF one.
# in_rows/in_bytes = summed over ALL children, unlike the .cpu.txt golden, which
#   renders the first child's.
# hbm_bytes is NOT here: it comes from Nsight and joins on (query, node_seq).
# run: timing_mode=events
# run: build_profile=benchmarks opt-level=3
# run: allocator=rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
source	dataset	sf	query	label	node_seq	node_type	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60736	60735	60738
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	111744	111739	111746
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60952	60951	60954
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	99260	99256	99262
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60963	60962	60965
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	97910	97904	97912
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60910	60909	60912
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	95732	95727	95734
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60738	60736	60740
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	95122	95118	95124
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60791	60790	60793
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	0	GpuScanExec	0	0	240012290	5100261168	5100261168	2	94926	94922	94928
peacockdb	tpch	40	aggregate-groupby	full_table-tp1-full	1	GpuAggregateExec	240012290	5100261168	3	69	69	2	60678	60674	60680
