3447846,9555688.85
118086,9532278.70
7898130,9523999.80
203220,9483442.86
7491498,9365285.32
7771331,9360093.75
905090,9300466.56
2611944,9262482.84
6747427,9231443.76
3007903,9161342.44
599849,9121070.00
7646536,9081786.24
2888603,9064357.74
508549,9043909.68
1023154,8931427.76
4659812,8816696.25
5124548,8664900.75
4770299,8566025.70
910047,8441541.24
7688294,8412021.30
1621822,8395743.51
5724634,8375184.03
2886231,8301384.60
6701136,8211718.71
1392276,8197710.57
2078688,8156473.92
3278284,8156046.00
4934449,8152387.20
6108418,8118137.10
4834276,8092243.68
3401562,8059339.28
6507674,8004881.18
6534830,8002623.36
1246018,8001216.08
3516130,7994971.92
6689330,7980658.98
3866715,7969790.80
7284767,7932281.40
3014737,7930026.48
5389646,7926672.52
2820988,7901034.92
6287837,7877882.77
4461426,7866139.84
7969967,7864118.40
5286466,7859173.86
6316029,7831070.40
363078,7759210.10
1608782,7684913.40
16315,7652630.70
6551630,7646664.00
3981259,7642922.19
2665375,7637346.75
3141649,7631810.82
583200,7627047.78
6572944,7622419.08
7118189,7604904.21
4699896,7580598.09
5097476,7491750.50
1399398,7480744.32
1619361,7472393.40
4114381,7382849.04
5113838,7364647.94
1419242,7355765.76
2400621,7355645.19
4396323,7347565.61
1240243,7330210.00
6645563,7278806.22
2286337,7226855.46
71628,7216998.40
1892010,7208031.40
4140483,7207191.33
1613608,7159456.26
1427191,7125087.96
1941834,7118798.40
2547529,7105741.80
7906460,7095937.68
4031518,7059267.32
5618574,7042509.04
5359202,7035463.80
5658760,7020132.90
4838495,6995772.00
5752553,6969276.16
1690839,6959677.63
4178428,6955896.56
1537727,6946698.80
4850097,6921549.36
6352822,6916941.13
6269493,6885436.56
1347556,6849055.44
6990941,6848784.15
6118068,6838264.63
3918643,6824302.80
6125252,6815280.51
5243643,6809284.26
2018482,6768717.84
2732558,6767222.16
5851807,6759283.82
5150426,6757701.20
3987795,6725429.70
4420014,6721664.34
1615064,6711024.32
1081417,6694707.27
7511228,6673456.40
2043556,6640815.15
5411069,6625455.48
7884326,6624342.20
7744505,6622867.54
4236812,6617066.19
2660440,6609092.46
2152001,6608653.02
5510779,6603509.88
27189,6602551.80
5467444,6593497.05
330643,6592836.72
5259436,6579059.48
1113232,6568569.60
7599521,6559465.28
3280797,6543934.97
1895184,6534186.75
5379332,6533679.60
4534778,6522843.60
693859,6514891.44
2601619,6507108.44
7723012,6495006.08
6725923,6493106.13
1437952,6458624.94
2589617,6455722.42
