ALGERIA,1998,2414434.7010
ALGERIA,1997,4995634.1448
ALGERIA,1996,3873973.5523
ALGERIA,1995,4379347.4036
ALGERIA,1994,4796389.9107
ALGERIA,1993,4721727.1147
ALGERIA,1992,4364570.2775
ARGENTINA,1998,2109135.9176
ARGENTINA,1997,3738818.9724
ARGENTINA,1996,4182720.9315
ARGENTINA,1995,4149252.4744
ARGENTINA,1994,4623617.4120
ARGENTINA,1993,4193084.1593
ARGENTINA,1992,3877602.9859
BRAZIL,1998,1925983.9903
BRAZIL,1997,4547057.0132
BRAZIL,1996,4296802.4960
BRAZIL,1995,4986854.7111
BRAZIL,1994,4137668.9466
BRAZIL,1993,4439380.0392
BRAZIL,1992,4189147.7501
CANADA,1998,2832314.2019
CANADA,1997,3636949.3601
CANADA,1996,3887271.1773
CANADA,1995,4077828.8396
CANADA,1994,4409227.5883
CANADA,1993,3607487.7715
CANADA,1992,4190560.7030
CHINA,1998,2418046.8710
CHINA,1997,3734609.9109
CHINA,1996,3876721.2232
CHINA,1995,4083142.3655
CHINA,1994,4206296.9409
CHINA,1993,3564794.6260
CHINA,1992,3643001.6469
EGYPT,1998,2458096.6663
EGYPT,1997,3677446.6055
EGYPT,1996,4907302.2227
EGYPT,1995,4409445.3609
EGYPT,1994,4483419.3957
EGYPT,1993,4672258.3908
EGYPT,1992,4761771.6008
ETHIOPIA,1998,2059455.6733
ETHIOPIA,1997,4042768.1628
ETHIOPIA,1996,4627637.1020
ETHIOPIA,1995,4051470.2458
ETHIOPIA,1994,3734744.0937
ETHIOPIA,1993,4180662.0131
ETHIOPIA,1992,3869413.4125
FRANCE,1998,2382235.6832
FRANCE,1997,5119654.4447
FRANCE,1996,4171133.8228
FRANCE,1995,4039753.4502
FRANCE,1994,4606365.6871
FRANCE,1993,4038890.8696
FRANCE,1992,4175341.4082
GERMANY,1998,2472501.9067
GERMANY,1997,3969073.1394
GERMANY,1996,3856730.7597
GERMANY,1995,4279244.8014
GERMANY,1994,4434156.2988
GERMANY,1993,3926977.2618
GERMANY,1992,3973560.7799
INDIA,1998,2772198.8106
INDIA,1997,5488230.3759
INDIA,1996,5979109.3980
INDIA,1995,4880551.8395
INDIA,1994,5246097.4734
INDIA,1993,4834478.0689
INDIA,1992,4498154.7980
INDONESIA,1998,2891940.3630
INDONESIA,1997,4157291.1550
INDONESIA,1996,3590303.3385
INDONESIA,1995,3908575.5886
INDONESIA,1994,4178032.6186
INDONESIA,1993,4747792.6854
INDONESIA,1992,4179491.4541
IRAN,1998,2427111.6521
IRAN,1997,4003365.9844
IRAN,1996,4250834.8683
IRAN,1995,4181197.7630
IRAN,1994,4516676.5141
IRAN,1993,4658256.3800
IRAN,1992,4394288.2454
IRAQ,1998,2097685.5835
IRAQ,1997,4496798.5216
IRAQ,1996,3881857.7999
IRAQ,1995,3394396.8804
IRAQ,1994,3643206.1975
IRAQ,1993,4294119.4125
IRAQ,1992,4497984.0100
JAPAN,1998,2042134.6228
JAPAN,1997,5446976.9644
JAPAN,1996,4186951.1403
JAPAN,1995,5729538.0200
JAPAN,1994,4915804.8352
JAPAN,1993,4678479.3405
JAPAN,1992,5581942.9544
JORDAN,1998,2831407.0827
JORDAN,1997,4994529.5751
JORDAN,1996,4630848.2690
JORDAN,1995,5045333.5321
JORDAN,1994,4658572.3951
JORDAN,1993,4796353.0227
JORDAN,1992,4424134.0573
KENYA,1998,2908549.3344
KENYA,1997,4719538.1610
KENYA,1996,4384158.9922
